sample_idx,crystal_idx,n_crystals,cx,cz,x_center,z_center,dist_center,dist_corner_1,dist_corner_2,dist_corner_3,dist_corner_4,mse_psi,relL2_psi
47,1,1,-3.369575e-01,-4.940252e-01,0.000000e+00,0.000000e+00,5.979977e-01,8.340479e-01,1.429498e+00,1.634545e+00,2.004886e+00,1.690970e-25,5.274856e-02
48,1,1,3.564142e-02,8.309048e-02,0.000000e+00,0.000000e+00,9.041205e-02,1.498545e+00,1.450197e+00,1.383212e+00,1.330680e+00,4.360819e-25,1.043922e-01
49,1,1,3.770975e-01,-7.477044e-01,0.000000e+00,0.000000e+00,8.374153e-01,1.400018e+00,6.720570e-01,2.225055e+00,1.855392e+00,2.742860e-25,1.253626e-01
50,1,1,-4.419590e-01,-2.861882e-01,0.000000e+00,0.000000e+00,5.265277e-01,9.060558e-01,1.608966e+00,1.402031e+00,1.932233e+00,3.745112e-25,5.282952e-02
51,1,1,7.729975e-01,4.367681e-02,0.000000e+00,0.000000e+00,7.742305e-01,2.057372e+00,1.068078e+00,2.014466e+00,9.828958e-01,1.946957e-25,2.330775e-02
52,1,1,-6.625893e-01,-1.665835e-01,0.000000e+00,0.000000e+00,6.832090e-01,8.991268e-01,1.859781e+00,1.214398e+00,2.031039e+00,4.836412e-25,4.193875e-02
53,1,1,-5.005898e-01,1.195432e-01,0.000000e+00,0.000000e+00,5.146656e-01,1.225882e+00,1.872204e+00,1.012233e+00,1.739820e+00,3.804741e-25,4.495133e-02
54,1,1,6.962961e-01,-4.163789e-01,0.000000e+00,0.000000e+00,8.112950e-01,1.793888e+00,6.579132e-01,2.209875e+00,1.448573e+00,1.574297e-25,2.815158e-02
55,1,1,-1.566026e-01,4.867852e-01,0.000000e+00,0.000000e+00,5.113552e-01,1.709342e+00,1.883682e+00,9.872734e-01,1.265353e+00,3.406839e-25,1.003372e-01
56,1,1,-7.990494e-01,7.174840e-01,0.000000e+00,0.000000e+00,1.073901e+00,1.729200e+00,2.487233e+00,3.466936e-01,1.821097e+00,2.476791e-25,6.718130e-02
57,1,1,-6.546185e-01,1.175357e-01,0.000000e+00,0.000000e+00,6.650865e-01,1.169690e+00,1.996659e+00,9.476453e-01,1.875235e+00,5.813419e-25,4.554174e-02
58,1,1,-8.431457e-02,-8.234178e-02,0.000000e+00,0.000000e+00,1.178521e-01,1.296370e+00,1.420505e+00,1.417725e+00,1.532058e+00,2.549312e-25,7.634374e-02
59,1,1,4.109524e-01,-1.915294e-01,0.000000e+00,0.000000e+00,4.533932e-01,1.626165e+00,1.000301e+00,1.846762e+00,1.329180e+00,1.859096e-25,3.712663e-02
60,1,1,-3.756011e-01,2.236510e-01,0.000000e+00,0.000000e+00,4.371452e-01,1.373752e+00,1.841087e+00,9.962890e-01,1.579556e+00,3.137456e-25,5.215434e-02
61,1,1,-2.740808e-01,7.014033e-01,0.000000e+00,0.000000e+00,7.530517e-01,1.849792e+00,2.125572e+00,7.849323e-01,1.308603e+00,3.251472e-25,1.308875e-01
62,1,1,-5.333024e-01,-5.329613e-01,0.000000e+00,0.000000e+00,7.539623e-01,6.602513e-01,1.602854e+00,1.602428e+00,2.168176e+00,3.468406e-25,5.970869e-02
63,1,1,-2.207167e-01,-1.086324e-01,0.000000e+00,0.000000e+00,2.460018e-01,1.183984e+00,1.511518e+00,1.355119e+00,1.649004e+00,2.202518e-25,5.647894e-02
64,1,1,-5.722238e-01,5.795793e-01,0.000000e+00,0.000000e+00,8.144644e-01,1.636479e+00,2.228667e+00,5.997883e-01,1.627465e+00,3.715605e-25,6.445391e-02
65,1,1,2.328529e-01,1.403998e-01,0.000000e+00,0.000000e+00,2.719055e-01,1.679416e+00,1.374419e+00,1.502943e+00,1.152140e+00,2.720305e-25,6.162881e-02
66,1,1,-6.043751e-01,8.736986e-02,0.000000e+00,0.000000e+00,6.106576e-01,1.157105e+00,1.938142e+00,9.946923e-01,1.845783e+00,4.910002e-25,4.401225e-02
67,1,1,-9.941420e-03,-3.662675e-01,0.000000e+00,0.000000e+00,3.664024e-01,1.175514e+00,1.192308e+00,1.687277e+00,1.699020e+00,3.728234e-25,1.076649e-01
68,1,1,-7.663873e-01,-2.205653e-01,0.000000e+00,0.000000e+00,7.974952e-01,8.136912e-01,1.930710e+00,1.242721e+00,2.147069e+00,6.234584e-25,4.446635e-02
69,1,1,-4.055619e-01,-3.371286e-01,0.000000e+00,0.000000e+00,5.273862e-01,8.903680e-01,1.554028e+00,1.463308e+00,1.939979e+00,3.335765e-25,5.512004e-02
70,1,1,2.643696e-01,-1.692581e-02,0.000000e+00,0.000000e+00,2.649108e-01,1.601582e+00,1.227838e+00,1.622581e+00,1.255106e+00,6.176231e-25,8.544511e-02
71,1,1,4.462870e-01,-3.834672e-01,0.000000e+00,0.000000e+00,5.884039e-01,1.572215e+00,8.286801e-01,2.001431e+00,1.490161e+00,1.710815e-25,3.867730e-02
72,1,1,1.248238e-01,-2.865185e-01,0.000000e+00,0.000000e+00,3.125281e-01,1.332023e+00,1.129154e+00,1.708906e+00,1.555977e+00,3.035747e-25,8.394443e-02
73,1,1,6.382913e-01,5.070005e-01,0.000000e+00,0.000000e+00,8.151474e-01,2.225994e+00,1.549801e+00,1.710861e+00,6.114587e-01,1.483660e-25,3.280875e-02
74,1,1,-9.308337e-02,4.721296e-01,0.000000e+00,0.000000e+00,4.812182e-01,1.729064e+00,1.833575e+00,1.049355e+00,1.213869e+00,2.953987e-25,9.973789e-02
75,1,1,4.970666e-01,-7.591483e-02,0.000000e+00,0.000000e+00,5.028302e-01,1.759302e+00,1.052081e+00,1.843584e+00,1.187659e+00,2.017975e-25,3.245714e-02
76,1,1,7.406796e-01,-2.137995e-01,0.000000e+00,0.000000e+00,7.709192e-01,1.909994e+00,8.278637e-01,2.122092e+00,1.241191e+00,1.454971e-25,2.184188e-02
77,1,1,-6.108118e-01,-5.279540e-01,0.000000e+00,0.000000e+00,8.073577e-01,6.117965e-01,1.678554e+00,1.576741e+00,2.220216e+00,4.901525e-25,6.393526e-02
78,1,1,5.682058e-01,-4.581660e-01,0.000000e+00,0.000000e+00,7.299136e-01,1.659173e+00,6.928422e-01,2.141382e+00,1.520754e+00,1.487013e-25,3.319510e-02
79,1,1,-7.527361e-01,1.078708e-01,0.000000e+00,0.000000e+00,7.604260e-01,1.135129e+00,2.073514e+00,9.257613e-01,1.966718e+00,5.858966e-25,4.166191e-02
80,1,1,-5.222555e-01,5.333394e-01,0.000000e+00,0.000000e+00,7.464595e-01,1.606042e+00,2.160646e+00,6.678412e-01,1.592179e+00,3.160202e-25,5.779504e-02
81,1,1,2.025645e-01,-7.338825e-01,0.000000e+00,0.000000e+00,7.613251e-01,1.231657e+00,8.406676e-01,2.110097e+00,1.908468e+00,1.971015e-25,1.300436e-01
82,1,1,-6.358180e-02,4.949042e-03,0.000000e+00,0.000000e+00,6.377412e-02,1.373609e+00,1.463260e+00,1.366384e+00,1.456480e+00,6.050896e-25,1.199607e-01
83,1,1,-3.184243e-01,-6.593442e-01,0.000000e+00,0.000000e+00,7.322082e-01,7.619657e-01,1.361723e+00,1.793870e+00,2.119355e+00,1.408270e-25,7.029438e-02
